Converting /ct12/abrammer/graphics/ecmf_tc_data/data/A_JSXX01ECEP141200_C_ECMP_20170714120000_tropical_cyclone_track_FERNANDA_-118p3degW_11degN_bufr4.bin
         2294559 function calls (2265619 primitive calls) in 5.160 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 __init__.py:347(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:350(_CountryNameDict)
        2    0.000    0.000    0.000    0.000 __init__.py:354(__getattr__)
       43    0.001    0.000    0.032    0.001 __init__.py:356(namedtuple)
        2    0.000    0.000    0.000    0.000 __init__.py:361(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:367(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:372(OrderedDefaultdict)
        1    0.000    0.000    0.000    0.000 __init__.py:373(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:375(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:379(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:388(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:397(StringTemplateStyle)
        1    0.000    0.000    0.004    0.004 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:401(is_platform_windows)
        1    0.000    0.000    0.000    0.000 __init__.py:407(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:408(__init__)
        1    0.000    0.000    0.007    0.007 __init__.py:41(<module>)
      241    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
      241    0.000    0.000    0.001    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:421(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        2    0.000    0.000    0.034    0.017 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:455(checkdep_ps_distiller)
        1    0.000    0.000    0.000    0.000 __init__.py:465(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:472(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:473(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:496(checkdep_usetex)
        2    0.000    0.000    0.698    0.349 __init__.py:5(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:5(HTTPStatus)
        2    0.000    0.000    0.000    0.000 __init__.py:540(_get_home)
        1    0.000    0.000    0.000    0.000 __init__.py:594(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:597(_get_xdg_config_dir)
        1    0.000    0.000    0.018    0.018 __init__.py:6(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:625(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:636(Filter)
        1    0.000    0.000    0.003    0.003 __init__.py:660(_get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:673(Filterer)
        3    0.000    0.000    0.000    0.000 __init__.py:678(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:697(_decode_filesystem_path)
        1    0.000    0.000    0.057    0.057 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:704(_get_data_path)
        1    0.000    0.000    0.002    0.002 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:745(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:747(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:755(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:764(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:781(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:793(createLock)
        1    0.000    0.000    0.004    0.004 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:885(RcParams)
      285    0.000    0.000    0.000    0.000 __init__.py:894(<genexpr>)
        2    0.000    0.000    0.005    0.002 __init__.py:9(<module>)
        3    0.000    0.000    0.009    0.003 __init__.py:905(__init__)
      572    0.001    0.000    0.008    0.000 __init__.py:909(__setitem__)
       10    0.000    0.000    0.000    0.000 __init__.py:934(__getitem__)
